CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO
08,021,0371,Colonia Terrazas
08,038,0012,Colonia Esperanza
08,038,0041,La Regina
08,054,0178,La Nueva Paz
08,054,0047,Campo Ochenta y Cuatro
08,045,0007,Estación Consuelo
08,011,0138,Rancho Viejo
09,013,0273,Zacazontlipac
09,009,0185,Zacazontlipac
32,029,0009,Colonia Veinte de Noviembre (Santa Ana)
10,023,0689,Estación Coyotes (José María Morelos)
05,009,0010,Buenavista de Arriba
10,012,0560,Dolores (La Borrega)
10,012,0561,La Goleta
10,012,0606,Fortuna de Rancho Güero
10,012,0026,La Mina (El Sarnoso)
10,036,0009,Banco Nacional
10,017,0028,Ojos Azules (Campo Alegre)
10,006,0016,San Luis de Corea
10,036,0038,Morelos (La Loma Yermo) [Granja]
10,036,0119,La Sierrita
10,022,0009,La Joya
10,022,0003,Los Ángeles
10,038,0007,San Francisco Javier
10,038,0003,Graceros
10,005,0602,Fraccionamiento Paraíso de la Sierra
10,026,0444,Neveros
10,001,0100,La Plazuela (El Rayo)
10,014,0005,La Joya de Atotonilco (Atotonilco)
10,019,0135,Macho Bayo
10,018,0005,Campo Agrario (El Bronco)
10,039,0136,Corona del Valle (San Juan Nuevo)
10,019,0173,Bajío de Vacas (Bajío de Atocha)
10,013,0177,Estación Yermo
10,007,0302,El Barro 33 (El Treinta y Tres)
10,016,0047,Revolución Social
10,032,0142,San Pedro de Tenerapa
12,045,0029,Las Juntas
12,022,0473,Los Bayados
12,054,0113,El Remance
20,242,0049,La Joya Peras (Tivaá)
12,003,0033,Nanche Colorado (El Nanche)
12,058,0036,Cruz Blanca
12,058,0297,Miahuatepec
12,064,0009,La Montaña
12,064,0018,El Tamarindo del Río
12,052,0096,Mixtecapa
12,052,0106,Barrio de Guadalupe
12,052,0107,Cruz Alta
12,072,0064,Llano Pericón
12,072,0120,Villa de Guadalupe
12,072,0005,Ayotoxtla
12,032,0075,Puerto Gallo [Campamento]
12,056,0052,El Zanate
12,036,0008,La Reforma
12,036,0019,El Capulín
12,036,0012,La Victoria
12,035,0015,Platanillo
17,017,0010,El Zapote
12,026,0013,San Luis
12,035,0003,Colonia Álvaro Obregón
12,025,0012,El Líbano
12,041,0075,Xkua Xtuti
12,041,0124,San Juan de las Nieves
12,011,0056,La Remonta (La Remonta Grande)
12,011,0089,Junta de los Ríos (Las Juntas)
12,011,0147,Colonia Vicente Guerrero
12,073,0105,Pandacuareo
12,081,0025,San José Vista Hermosa
12,001,0242,Bella Vista Papagayo
12,001,0493,La Arena
12,001,0695,El Progreso de Cacahuatepec
12,039,0056,Chacalapa de Bravos
12,039,0044,San Juan del Reparo Norte (San Juan del Reparo)
12,039,0045,San Juan del Reparo Sur (San Juan del Reparo)
12,060,0037,Tepacoya
12,048,0645,Arroyo Verde
12,048,0068,Coyuquilla Norte
12,007,0111,La Concordia
12,035,0197,Colonia Ernesto Che Guevara (La Che Guevara)
12,035,0002,Ahuehuepan
12,034,0007,Atetetla
12,035,0017,Rancho del Cura
12,075,0002,Ahuelicán
12,028,0168,El Pinoral
12,044,0053,La Villita
12,076,0048,El Capulín
12,076,0052,Loma Maguey
12,076,0056,Zilacayota
12,076,0139,Laguna Seca
12,076,0078,El Tejocote
12,004,0014,Petlacalancingo
12,024,0014,Cuescomapa
12,003,0042,San Jerónimo el Grande
12,004,0003,Ahuejutla
12,009,0004,Cuautipan
12,043,0015,Juanacatlán
12,066,0003,Alpoyecancingo
12,066,0030,Xalatzala
12,066,0028,Tototepec (Yozononi)
12,062,0065,San José
12,010,0108,Vicente Guerrero
12,076,0006,Apetzuca
12,076,0043,Zontecomapa
12,076,0046,Agua Fría
12,076,0065,Lázaro Cárdenas
12,076,0069,El Mirador
12,076,0070,Puerto Buenavista
12,076,0072,Tierra Colorada
12,076,0113,Yerba Santa
12,076,0060,Barranca Mina
12,076,0010,Barranca Pobre
12,076,0041,Xilotlancingo
12,012,0092,Plan de Gatica
12,012,0163,Ciénega del Sauce
12,006,0070,Pueblo Nuevo Santa María
12,050,0011,Placeritos
12,051,0010,Huehuecoyotla
12,061,0019,Zoquiapa
12,074,0017,Topiltepec
12,018,0023,Las Peñas
12,058,0324,Nueva Esperanza
12,029,0097,Colonia General Heliodoro Castillo (Chicahuales)
12,070,0005,Tehuaxtitlán
12,008,0041,San Juan Teocalcingo
17,025,0004,Coaxitlán
12,017,0014,El Municipio (Tijuanita)
12,017,0055,Colonia Vicente Guerrero
12,013,0049,Quetzalapa
12,055,0040,San Miguel Guerrero (San Miguel)
12,048,0220,Barra de Potosí
12,029,0030,Carrizal de la Vía
12,032,0042,Izotepec
12,032,0057,Ojo de Agua (Ojo de Agua del Progreso)
12,081,0041,13 de Septiembre
12,036,0024,Chimalapa
12,062,0009,El Limón Guadalupe
12,043,0010,Chilixtlahuaca
12,028,0208,Buena Vista de las Pilas
12,077,0007,La Ceniza (Loma de Romero)
13,004,0014,Ejido de Loma Ancha
13,024,0034,Santo Domingo Agua Zarca
13,024,0042,San Miguel Cacaloapan
13,035,0005,Cañada de Flores
13,016,0010,Chacalapa
21,071,0033,Tlacomulco
13,009,0004,Fray Francisco
13,009,0006,El Meje
13,009,0003,Chimilpa
13,009,0008,El Rincón
13,054,0054,Pacheco Leandro Valle
13,055,0014,Santa Mónica
13,055,0018,Zaragoza
13,035,0041,Ex-Hacienda de Apulco Parte Alta
13,035,0031,Colonia Nueva Ex-Hacienda de Apulco
13,035,0006,El Casco
13,052,0010,San Isidro Llano Largo
13,017,0015,San Juan el Sabino
13,058,0024,Santiago Ixtlahuaca
13,058,0009,Danghu
13,058,0017,Portezuelo
13,061,0029,20 de Noviembre [Colonia]
13,003,0052,El Porvenir
13,003,0019,El Palomo
13,003,0044,Cuarta Manzana Chicavasco (La Ladera Chicavasco)
13,003,0015,La Loma
13,003,0020,La Peña
13,038,0024,Benito Juárez
13,052,0020,San Miguel Tornacuxtla
13,052,0037,Palos Blancos
13,024,0035,Santo Tomás Allende
13,024,0068,San Pablo Ojo de Agua
13,036,0030,Llano de las Palmas
13,036,0023,Apartadero
13,037,0044,Santa Mónica Autempa
13,010,0030,Atitalaquia [Parque Industrial]
13,063,0025,Benito Juárez
13,076,0087,Cerrito del Tepeyac
13,030,0031,Nequeteje
13,055,0021,Ejido del Mezquital
13,056,0008,Ventoquipa
13,056,0007,Tilhuacán
13,061,0009,Palo Hueco
13,006,0033,San Pablo Oxtotipan
13,044,0013,El Jagüey
13,049,0047,Plan de Ayala
13,062,0015,El Naranjal
13,062,0061,Soyuco
13,062,0034,Ixtlapalaco
13,006,0007,Cerro Azul
13,030,0046,El Tablón
13,030,0002,El Alberto
13,041,0011,Tepeitic
13,054,0040,Xuchitlán
13,054,0036,Chichimecas
13,037,0069,San Antonio Tlaxco
13,039,0003,Ciénega Larga
13,083,0135,Nueva Esperanza
13,041,0007,Morelos (El Nueve) [Colonia]
13,054,0024,Tothie de Rojo Gómez
13,001,0016,El Milagro San Simón
13,001,0061,El Cerrito
13,012,0011,Montecillos
13,012,0006,La Cruz (Barrio de la Cruz)
13,012,0038,Agua Limpia
13,012,0037,Tezahuapa
30,055,0012,Chapopote Chico (Tlachinolapa)
13,011,0029,San Isidro
13,028,0062,Machetla
30,083,0058,Poza Grande
13,026,0041,La Ceiba
13,046,0099,El Carrizal
13,044,0030,San Sebastián Tenochtitlán
13,059,0020,Ninthí
13,059,0059,Joñhé
13,059,0019,La Mesilla
13,059,0033,San Miguel Caltepantla
22,016,0067,El Sitio
13,015,0022,San Clemente
13,015,0025,San Miguel Jigui
13,015,0039,Barrio Quixpedhe
13,015,0115,Palacios
13,015,0004,El Bingú
13,054,0039,El Mothé
13,084,0012,El Cerrote
13,084,0042,Puerto Juárez
13,028,0031,La Corrala
13,042,0020,Tenango
13,002,0027,Canales
13,004,0012,Milpa Vieja (Apulco)
13,004,0002,Ejido de Agua Blanca (Cerro Alto)
13,077,0002,Acocul la Palma
13,081,0003,Atopixco
13,081,0005,La Cumbre de Alumbres
13,012,0015,Paso de Amajac
13,045,0012,Vicente Guerrero
13,045,0002,Agua Fría
13,045,0023,Santa Elena
13,045,0019,Puentecillas
13,031,0011,Los Duraznos
13,023,0006,Doctor José G. Parres
13,023,0005,Dengantzha
13,065,0002,Juandhó
13,067,0012,Tenango
13,067,0004,Santa María Batha
13,067,0013,El Tinaco
13,015,0018,El Potrero
13,030,0011,Cuesta Colorada
13,017,0012,San José el Marqués (Escandón)
13,017,0013,Nueva Santa Lucía
13,024,0025,San José Ocotillos
13,024,0036,San Lorenzo el Zembo
13,028,0075,Poxtla Coacuilco
13,028,0106,Xochitzintla
13,028,0028,Cochiscuatitla las Chacas
13,038,0032,La Laguna [Barrio]
13,052,0076,Banús
13,052,0004,La Concepción
13,052,0070,La Loma
13,052,0077,Paseo de los Solares
13,052,0014,Santa Catarina
13,052,0052,Nueva Tlaxiaca
13,022,0092,El Rialejo
13,022,0091,Xochihuacán [Fraccionamiento]
13,022,0019,San Miguel Nopalapa
13,048,0248,Colonia del Valle
15,036,0011,Tianguistongo
13,003,0007,Cañada Chica Antigua
13,003,0004,Boxaxni
13,003,0011,Dajiedhi
13,030,0050,Cañada Chica
13,055,0004,Cerritos
13,055,0013,Patria Nueva
13,030,0096,Ex-Hacienda de Ocotza
13,054,0013,Lagunilla
13,016,0035,Tezoquipa
13,077,0113,Tollancingo
13,077,0071,Pedregal de San Francisco
13,077,0098,San Francisco
13,001,0036,Lagunicatlán
13,022,0004,El Guajolote
13,022,0010,El Nopalillo
13,056,0003,Las Lajas
13,056,0004,Los Romeros
13,006,0037,La Vega
13,059,0028,El Salto
13,006,0030,San Antonio Tezoquipan
13,035,0026,Palo Gacho
13,053,0009,Calintla
13,042,0007,Cuxhuacan
13,076,0074,Jardines de San Miguel
13,076,0021,San Lucas Teacalco
13,076,0061,Nueva Santa María [Colonia]
13,017,0022,Zimapantongo
13,076,0004,Xiteje de Zapata
13,076,0018,San Francisco Bojay Pueblo
13,031,0020,Minas Viejas
13,041,0035,3 de Mayo [Colonia]
13,026,0039,Tlamamala
13,026,0013,Chiatipán
13,010,0032,Tula [Parque Industrial]
13,013,0002,San José Acoculco
13,063,0052,Presa Escondida
13,063,0018,Santiago Tlautla
13,063,0047,Presa Escondida 2da. Sección Hacienda la Nopalera
13,063,0099,Amanali
13,064,0014,El Retiro
13,074,0004,Teocalco
13,001,0030,Las Palmas
13,001,0066,Agustín Olvera Seccíon II [Colonia]
13,002,0012,San Pedro Tlachichilco
13,002,0034,San Martín
13,035,0007,Acocul Cebolletas
13,056,0035,Emiliano Zapata
13,057,0022,Segundas Lajas
13,057,0181,La Rosa
13,080,0029,Crisolco
13,014,0020,Tula
13,042,0026,Molocotlán
13,042,0012,Malila
13,036,0015,Tuzanapa
13,083,0130,El Mirador Sexta Sección
14,104,0020,Cartagena
14,050,0014,San Pedro Tesistán
01,002,0034,Las Negritas
14,120,0568,Milpillas Mesa de San Juan
14,108,0295,Miseria y Ánimas
14,055,0004,Lo de Guevara (La Loma)
14,122,0039,Telcruz
14,017,0097,San Pedro
14,009,0043,Santa Sofía
15,085,0037,Santa Rosa Solís
15,071,0006,Encinillas
15,103,0002,San Antonio Tlaltecahuacán
15,075,0008,San Pablo Ixquitlán
15,040,0010,Plan de San Miguel
15,083,0003,Santiago Zula
15,045,0010,Danxho
15,007,0018,San Sebastián el Grande
13,013,0018,Praderas del Potrero
13,063,0005,La Loma
13,052,0005,Chapultepec de Pozos
15,101,0048,Colonia las Granjas
13,044,0033,San Sebastián de Juárez
13,044,0132,El Mogote
13,063,0008,Ojo de Agua
15,026,0037,Xhote
15,079,0002,El Divisadero de Zapata
15,074,0126,Ejido del Tunal Nenaxi
15,063,0042,Los Manantiales (El Río Chiquito)
15,063,0010,Chalmita
17,015,0006,Palpan de Baranda
13,044,0077,Puerto Dañu
13,044,0005,El Fresno (Casas Viejas)
15,075,0010,Santiago Tepetitlán
15,075,0007,San Antonio de las Palmas
15,075,0013,Santa María Tezompa
15,060,0096,Ampliación el Rosario
15,010,0027,Ejidos de Santa María
15,010,0030,Colonia Ermita
15,095,0043,Granjas Hogar y Petrohuertos Delegación
15,016,0020,Zacatepec
15,016,0015,San Pablo Xuchitl
15,052,0008,Chalma
15,101,0052,Colonia Campesina
15,087,0040,Llano de la Y
15,009,0007,Santa Isabel Chalma
15,040,0013,El Salitre
15,007,0021,Polvillos (San Bartolo Quinta Sección)
15,032,0011,San Francisco Mihualtepec
15,078,0042,Frontón Vivero
15,032,0014,Ranchería de San Martín Obispo
15,026,0038,La Soledad (El Mogote)
15,052,0021,San Andrés Nicolás Bravo
15,081,0007,San Juan Pueblo Nuevo
15,095,0066,Tierras Blancas del Sur
15,082,0171,Tenería (Pueblo Nuevo)
15,045,0027,San Miguel de la Victoria
15,004,0016,Sexta Manzana
13,075,0009,Las Pintas
15,097,0051,Las Lágrimas
15,110,0083,Atesquelites (Tres Quelites)
15,052,0014,Pachuquilla
15,101,0013,San Lorenzo Huehuetitlán
15,006,0002,Colonia Loma Linda
16,067,0036,San Isidro
16,061,0040,Manzana la Cantera
16,061,0041,Manzana Rancho Escondido
16,014,0119,Ojo de Agua de San Telmo
16,035,0089,Puerta de la Playa
16,079,0020,Cuangatzio
16,006,0125,San Juan de los Plátanos
16,050,0100,San Ramón
16,020,0010,Jeruco
16,020,0009,Doctor Miguel Silva (San Guillermo)
16,020,0012,La Palma
16,036,0002,Capacho
16,003,0036,Chehuayo Chico (Chehuayito)
11,010,0011,Piedra Larga
11,010,0027,El Espinazo (Loma Bonita)
16,017,0044,El Milagro
16,041,0023,San José de Magallanes
12,073,0007,Alita
16,034,0527,Magallanes (Los Pinos)
16,063,0025,La Piedad Chiquita
16,099,0093,Los Pinzanes
11,002,0054,La Presa de Santa Inés
16,017,0020,Mogotes
16,080,0084,Cuartel Tercero (Tupátaro)
16,080,0066,Tupátaro
16,110,0018,Huajúmbaro (Huajúmbaro de Guadalupe)
16,001,0020,San Andrés Coapa
16,067,0046,El Nuevo Vado Blanco (Tijuanita)
16,005,0010,La Salud
16,044,0012,Huandacuca (Mariana)
16,071,0020,El Granjenal
16,032,0007,San Miguel Nocutzepo
16,004,0007,La Estancia del Río
16,044,0016,Tumbio
16,110,0112,Colonia Ejidal Eusebio Luna (Zócalo)
16,038,0524,La Cuchilla
11,002,0009,La Cañada
16,066,0035,Santa Juana
16,093,0072,Rosa de Castilla
16,009,0114,Zatzio
16,012,0006,La Angostura
16,084,0018,Querénguaro
16,108,0200,Canindo
16,106,0010,Munguía
11,046,0127,La Cruz del Niño
16,003,0008,Emiliano Zapata
16,079,0066,El Tarascón
16,073,0007,Sanambo
16,075,0019,San José de Gracia
16,062,0020,Las Malvinas (El Salate)
16,062,0002,El Cometa
16,086,0003,Las Cieneguitas
11,002,0088,La Soledad
16,046,0056,Las Mesitas
12,055,0050,Teacalco
17,026,0034,Colonia Joyas del Astillero
17,030,0021,Adolfo López Mateos
12,049,0016,Santa Teresa
17,021,0014,Colonia Sonora
17,021,0024,Colonia el Charco
17,030,0098,Cerro del Temecate
17,018,0031,Colonia Santa Úrsula
17,020,0111,Camino Antiguo a Tepoztlán
17,020,0113,Lomas del Pedregal
17,017,0065,Colonia Valle Bonito (Los Arcos Caídos)
17,018,0025,Santa Cruz Milpillas
17,004,0017,Palo Blanco
17,004,0132,Agua Salada
17,007,0074,Colonia Rodolfo López de Nava (Los Naranjos)
17,007,0118,Colonia Rancho Alegre (Kilómetro 7.5)
17,007,0123,Colonia Milpillas
17,007,0139,Colonia Unidad Deportiva
17,007,0146,Lomas Verdes de Ahuatepec
17,007,0107,Cerritos de García
17,011,0068,Colonia Josefa Ortiz de Domínguez
17,026,0008,Las Vivianas
17,026,0004,Los Laureles (San José de los Laureles)
17,004,0028,El Vergel
17,029,0117,El Fortín
17,024,0133,Colonia Niños Héroes
17,029,0158,Emiliano Zapata (Casahuates)
17,029,0007,Ignacio Bastida (Santa Catarina Tlayca)
17,002,0039,Rancho Temecatitla
17,023,0003,El Vigía (San Nicolás del Monte)
17,026,0003,Cuauhtempan (San Andrés Cuauhtempan)
17,024,0134,Fraccionamiento Bonanza (Condominios Pontevedra)
17,020,0002,Colonia Ángel Bocanegra (Adolfo López Mateos)
17,024,0004,Barranca Honda
17,026,0022,Unidad Habitacional Lázaro Cárdenas
17,026,0048,Colonia el Partidor
17,026,0007,El Ahuehuete
17,026,0019,Valle de Oaxtepec
17,026,0059,Colonia el Partidor (El Capulín)
17,026,0010,Jardines de Tlayacapan
17,002,0025,Colonia San Francisco
17,033,0004,Popotlán (Barrio Santo Tomás)
17,015,0010,El Rodeo
18,016,0050,Tierra Generosa
18,014,0006,Colonia el Ahualamo
18,020,0046,Lo de Marcos
18,004,0564,El Refilión
18,017,0283,La Corregidora
18,011,0015,Juan Escutia
18,010,0036,El Tamarindo
18,015,0406,Reynosa
18,002,0038,Tetitlán
18,002,0034,Santa Isabel
18,002,0039,Uzeta
18,013,0011,Puerta del Río
18,013,0015,Tepetiltic
18,011,0010,Heroico Batallón de San Blas (La Noria)
18,012,0006,Boca del Asadero
18,012,0013,La Culebra
18,017,0437,Roseta (La Tristeza)
18,001,0016,El Tejón (El Cantón)
18,008,0129,Crucero de Camichín
20,278,0051,Cerro de Agua Platanar
20,278,0068,Playa Lecuona
20,021,0031,Rancho Tablas de Reyes Carrizal (San Miguel)
20,021,0008,Rancho Tablas Reyes
20,042,0002,La Josefina
20,427,0002,Buenavista
20,509,0009,San José Piedras Negras
20,085,0034,El Recuerdo
20,028,0002,El Arrogante Justo Benítez
20,028,0042,La Escalera
20,061,0002,Santa María Velató
20,002,0020,La Junta
30,117,0028,Paso Amapa
20,469,0066,La Luz Rahelle
20,469,0070,Paso de Águila Copala
20,310,0019,Jardines del Tepeyac
20,310,0044,Cañada Grande [Colonia]
20,310,0020,Piedras Negras [Colonia]
20,342,0012,Rancho Viejo [Paraje]
20,385,0094,Rancho Quemado [Paraje]
20,330,0024,Los Pinos [Colonia]
20,510,0010,Reyes Ixcatlán
20,269,0009,Ignacio Zaragoza
20,015,0005,Tepehuaje
20,043,0208,10 de Abril [Colonia]
20,043,0222,Las Palmas [Fraccionamiento]
20,435,0005,Mosquito Blanco
20,517,0003,Río Ramal
20,259,0002,La Luz Tenexcalco
20,249,0003,Boca del Río San Mateo
20,028,0008,La Noria de Ortiz
20,072,0002,Lachilana
20,338,0008,Santo Domingo Barrio Alto [Parque Industrial]
20,293,0009,La Borcelana
20,293,0004,San Sebastián
20,397,0016,Nueva Reforma
20,397,0110,Santo Domingo Huendío
20,110,0006,Yosocahua
20,418,0008,San Cristóbal
20,418,0020,Pochotillo
20,396,0002,Llano de Agua
20,041,0124,Santa Catarina Buenavista
20,396,0003,San Agustín Nuevo
20,406,0038,Zongolica
20,441,0041,Nueva Vida [Colonia]
20,557,0033,14 de Febrero [Colonia]
20,184,0117,Pueblo Nuevo Ojo de Agua
20,184,0123,La Unión
30,169,0032,La Guadalupe
20,483,0002,Santa Cruz Lachixolana
20,077,0003,San Lázaro Etla
20,178,0002,Asunción Etla
20,178,0011,Santa Catarina [Paraje]
20,492,0024,Guadalupe Llano de las Avispas
20,006,0014,Santiago Mitlatongo
20,439,0006,Cerro Gordo
20,185,0008,La Culebra
20,427,0026,Las Flores
20,427,0006,La Princesa (El Polvorín)
20,427,0025,El Bajío
20,427,0031,Llano Suchiapa
20,198,0089,La Zacatera
20,198,0112,Nuevo Brena Torres
20,198,0025,Brena Torres
20,198,0117,Plan de San Luis
